iter	Logloss
187	0.3087962267
188	0.3087415686
189	0.3087231877
190	0.3086788694
191	0.3086594736
192	0.3086196299
193	0.3085959627
194	0.3085432125
195	0.308509147
196	0.3084379347
197	0.3084077837
198	0.308382346
199	0.3083666104
200	0.308321919
201	0.3083140501
202	0.308297514
203	0.308291528
204	0.3082606071
205	0.3082548143
206	0.3080546482
207	0.308012563
208	0.3078015993
209	0.3077540314
210	0.3077136584
211	0.3076721141
212	0.307637324
213	0.3075960773
214	0.307546674
215	0.3073630903
216	0.3073435508
217	0.30730743
218	0.3072173254
219	0.3071857414
220	0.3071118001
221	0.3070444207
222	0.3070233401
223	0.3070063505
224	0.3069169091
225	0.3068789729
226	0.3065527889
227	0.3064628598
228	0.3064057684
229	0.3062437043
230	0.3062059013
231	0.3060598081
232	0.3060279839
233	0.3060021055
234	0.3059512927
235	0.3058973408
236	0.305649401
237	0.3056357599
238	0.305566009
239	0.3055315109
240	0.3055005572
241	0.3054712549
242	0.3054504829
243	0.3054054942
244	0.3053956133
245	0.3053714625
246	0.3053496049
247	0.3053396205
248	0.3052989427
249	0.3052516042
250	0.3052340605
251	0.3052230958
252	0.3051681399
253	0.305167627
254	0.3051236259
255	0.3050939719
256	0.3050356507
257	0.3049943302
258	0.304967129
259	0.304921345
260	0.3048955813
261	0.304845031
262	0.3048001571
263	0.3047760172
264	0.3047407019
265	0.3046896794
266	0.3046262959
267	0.3045335215
268	0.3044618749
269	0.304457066
270	0.3044363332
271	0.304426463
272	0.3043562699
273	0.3043196089
274	0.3042597529
275	0.304219625
276	0.3041787681
277	0.3041258396
278	0.3041032312
279	0.304090091
280	0.304061927
281	0.3040494103
282	0.3040196028
283	0.3039731507
284	0.3037157523
285	0.3036923982
286	0.3036438481
287	0.30361062
288	0.3035856557
289	0.3035766502
290	0.3035488498
291	0.3035096664
292	0.3034660028
293	0.3034231539
294	0.3033901733
295	0.30338359
296	0.3033337376
297	0.3033173334
298	0.3032828831
299	0.3032455981
300	0.3032322648
301	0.3031846138
302	0.3031560168
303	0.3031375743
304	0.3030951561
305	0.3030811953
306	0.3030361599
307	0.3030038786
308	0.302957885
309	0.3029547342
310	0.3029006715
311	0.3028528671
312	0.3028341782
313	0.3027779222
314	0.3027751344
315	0.3026361432
316	0.302617942
317	0.3025435822
318	0.3025069559
319	0.3024993076
320	0.3024322924
321	0.3024195427
322	0.3023981822
323	0.3023821227
324	0.3023378037
325	0.3023214259
326	0.302309331
327	0.3022899006
328	0.3022629944
329	0.3022108921
330	0.302162396
331	0.3021081543
332	0.3020884275
333	0.3020676503
334	0.3020597374
335	0.3018937365
336	0.3018310759
337	0.301775989
338	0.3017517837
339	0.3017047748
340	0.3016680497
341	0.3016573591
342	0.3016381695
343	0.3016284233
344	0.3016064858
345	0.3014989764
346	0.3014812595
347	0.301457837
348	0.3014148455
349	0.301213397
350	0.3011899292
351	0.3011789621
352	0.3010681554
353	0.300905558
354	0.3007425606
355	0.3007333671
356	0.3007140332
357	0.3006644565
358	0.3006493508
359	0.3006134258
360	0.3005850027
361	0.3005476459
362	0.3005261277
363	0.3004285042
364	0.3004246737
365	0.3003941444
366	0.3003501832
367	0.3003432649
368	0.3003084723
369	0.300238931
370	0.3002191591
371	0.3001882011
372	0.3001710939
373	0.3001627814
374	0.3000974901
375	0.3000373281
376	0.3000153371
377	0.2999636452
378	0.2999489138
379	0.2999331649
380	0.2999268414
381	0.2998995591
382	0.2998567248
383	0.2998505717
384	0.2997942977
385	0.2997671797
386	0.299755418
387	0.2997203321
388	0.2996846582
389	0.2996706707
390	0.2996598402
391	0.2996396173
392	0.2995729641
393	0.2995603671
394	0.2995231105
395	0.2994892747
396	0.2994839779
397	0.2994508752
398	0.2994332075
399	0.2993730091
400	0.2993497688
401	0.299299597
402	0.2992747516
403	0.2992608684
404	0.2992004698
405	0.2991694195
406	0.2991436321
407	0.2991280691
408	0.2990672704
409	0.299014715
410	0.2989967641
411	0.2989672275
412	0.2989228032
413	0.2988782066
414	0.2988659372
415	0.2988129166
416	0.2988124466
417	0.2988010485
418	0.2987446587
419	0.2987128611
420	0.2987073482
421	0.2986327256
422	0.2986307001
423	0.298574542
424	0.2985528786
425	0.2985381096
426	0.2985185197
427	0.2985028827
428	0.2984757561
429	0.2984358868
430	0.2984247562
431	0.298373486
432	0.2983580221
433	0.2983479005
434	0.2983152814
435	0.2982469601
436	0.2982192952
437	0.2981922351
438	0.2981640832
439	0.2981427061
440	0.2981296496
441	0.2981189818
442	0.2981080552
443	0.2980973665
444	0.2980783896
445	0.2980488271
446	0.2980130869
447	0.2979867339
448	0.2979743295
449	0.2979641032
450	0.2979557966
451	0.2979228333
452	0.2979189941
453	0.2978928768
454	0.2978719182
455	0.2978433722
456	0.297828927
457	0.2977664927
458	0.2977599521
459	0.2977575355
460	0.2976794297
461	0.2976506255
462	0.297639536
463	0.2975771232
464	0.2975713661
465	0.2975393753
466	0.2975148935
467	0.2975090308
468	0.2974978992
469	0.2974769732
470	0.2974461626
471	0.2973939548
472	0.2973660575
473	0.2972061593
474	0.297151566
475	0.2971363314
476	0.2970982332
477	0.297088573
478	0.2970737591
479	0.297063556
480	0.2970325791
481	0.2970232051
482	0.2969999412
483	0.296982751
484	0.2969338255
485	0.2969083172
486	0.2968915769
487	0.2968557306
488	0.2968325791
489	0.2966922564
490	0.2966683519
491	0.296654345
492	0.2966046382
493	0.2965857308
494	0.2965680729
495	0.2965577652
496	0.2965424624
497	0.2965001706
498	0.2964837071
499	0.296445424
500	0.2964363016
501	0.2963825495
502	0.2963142715
503	0.2962828115
504	0.2962706282
505	0.2962518634
506	0.2962294843
507	0.2962169321
508	0.2961782008
509	0.2961667957
510	0.2961565252
511	0.2961061831
512	0.2960289182
513	0.2960186038
514	0.2959906593
515	0.2959815486
516	0.2959575733
517	0.2959406221
518	0.2959136757
519	0.2958935735
520	0.2958441627
521	0.2958366531
522	0.2958152083
523	0.2958011896
524	0.2957930045
525	0.2957691675
526	0.2957639269
527	0.2957551985
528	0.295736188
529	0.2957136238
530	0.2957066639
531	0.2956766858
532	0.2956022058
533	0.2955801533
534	0.295548512
535	0.2955370208
536	0.2955009423
537	0.2954331314
538	0.295420403
539	0.2953932316
540	0.2953728693
541	0.2953611488
542	0.2953124871
543	0.2953059716
544	0.2952674409
545	0.2952497862
546	0.2952420025
547	0.2952230986
548	0.2952095573
549	0.2951591892
550	0.2951264147
551	0.2951060634
552	0.2950967935
553	0.2950834902
554	0.2950821345
555	0.295074475
556	0.2950692458
557	0.2950520548
558	0.2950483521
559	0.2950205645
560	0.2949832903
561	0.2949787384
562	0.2949768834
563	0.2949428245
564	0.2949063239
565	0.2948881941
566	0.2948733699
567	0.294855916
568	0.294832531
569	0.294828392
570	0.2948158625
571	0.2947923909
572	0.294746359
573	0.2947246005
574	0.2947085727
575	0.2946866161
576	0.2946422923
577	0.2946233365
578	0.2945975186
579	0.2945801782
580	0.294545548
581	0.2945423198
582	0.2945002314
583	0.2944839641
584	0.2944414421
585	0.2944247437
586	0.2943902463
587	0.2943632027
588	0.2943521262
589	0.2942987357
590	0.2942536474
591	0.2942428517
592	0.2942333526
593	0.2942105399
594	0.2941761846
595	0.2941529633
596	0.2941495579
597	0.2941413089
598	0.2941300985
599	0.29412723
600	0.2941114977
601	0.2940619244
602	0.2940247136
603	0.2940141728
604	0.2940082159
605	0.2940073403
606	0.2940006929
607	0.2939884171
608	0.293974765
609	0.2939639727
610	0.2939006233
611	0.2938052847
612	0.2937850752
613	0.2937739882
614	0.2937641129
615	0.2937250624
616	0.2936819191
617	0.2936763407
618	0.2936641388
619	0.2936545814
620	0.2936162868
621	0.2936116008
622	0.2935980732
623	0.2935701562
624	0.2935602233
625	0.2934331133
626	0.2934128134
627	0.2934020852
628	0.2933928322
629	0.2933747071
630	0.2933739003
631	0.2933471798
632	0.2933144678
633	0.2932855563
634	0.2932607576
635	0.2932486842
636	0.2932441168
637	0.293208639
638	0.2932059586
639	0.2931743731
640	0.2931637833
641	0.293142577
642	0.293118992
643	0.2930891969
644	0.2930879542
645	0.2930835715
646	0.29307985
647	0.293039121
648	0.2930190579
649	0.293016546
650	0.293002256
651	0.2929992588
652	0.2929895686
653	0.2929723148
654	0.2929428885
655	0.2929351954
656	0.2929294031
657	0.292904231
658	0.2928840925
659	0.2928697813
660	0.2928517192
661	0.2928339264
662	0.2927983248
663	0.2927689664
664	0.2927405803
665	0.292719676
666	0.2926343491
667	0.292619646
668	0.2925834968
669	0.2925604301
670	0.29254723
671	0.292527624
672	0.2925170161
673	0.2925012496
674	0.2924803536
675	0.2924649053
676	0.2924570976
677	0.292408912
678	0.2923942539
679	0.2923864108
680	0.2923793763
681	0.2923697723
682	0.2923592844
683	0.2923485626
684	0.2923190061
685	0.2923102241
686	0.2923044807
687	0.2923020421
688	0.2922581341
689	0.2922502821
690	0.292237234
691	0.2922230814
692	0.2921802291
693	0.2921372139
694	0.2921167302
695	0.2920942997
696	0.2920674796
697	0.2920403609
698	0.2920323879
699	0.2920152164
700	0.2919989062
701	0.2919860473
702	0.291977805
703	0.291956404
704	0.2919310985
705	0.2919268797
706	0.2919194584
707	0.2918896367
708	0.2918869701
709	0.2918634122
710	0.2918412898
711	0.2918391167
712	0.2918320872
713	0.2918219881
714	0.2918001967
715	0.2917733367
716	0.2917686173
717	0.2917511659
718	0.2917099928
719	0.2917063562
720	0.2916734591
721	0.2916643821
722	0.2916365033
723	0.2916156891
724	0.2916093637
725	0.2916073298
726	0.2916004443
727	0.2915967275
728	0.2915801614
729	0.2915402385
730	0.291536896
731	0.2915007225
732	0.2914819721
733	0.2914593747
734	0.2914386433
735	0.291420965
736	0.2914188596
737	0.291410169
738	0.2913968582
739	0.2913840172
740	0.291364812
741	0.2913342649
742	0.2913336335
743	0.2912944501
744	0.2912607743
745	0.2912458917
746	0.2911894047
747	0.2911730969
748	0.2911035608
749	0.2910762707
750	0.2910507376
751	0.291033836
752	0.2909837071
753	0.2909695395
754	0.2909374604
755	0.2909165288
756	0.2909047929
757	0.2908445898
758	0.2908168484
759	0.2907921713
760	0.2907917228
761	0.2907775777
762	0.2907672378
763	0.2907334948
764	0.2907085747
765	0.2907050642
766	0.2906788282
767	0.2906482815
768	0.2906143272
769	0.2905953537
770	0.2905634619
771	0.2905601588
772	0.2905160129
773	0.2904753545
774	0.2904636191
775	0.2904363995
776	0.2904042944
777	0.2903819356
778	0.2903576017
779	0.2903418017
780	0.2903155343
781	0.2902971577
782	0.2902619222
783	0.290259868
784	0.2902301983
785	0.290202321
786	0.2901809924
787	0.2901644028
788	0.2901517424
789	0.2901394549
790	0.2901041144
791	0.2900857904
792	0.2900626707
793	0.2900451156
794	0.2900125855
795	0.2900107428
796	0.289938479
797	0.2899275795
798	0.289900836
799	0.2898017803
800	0.2897945358
801	0.2897604917
802	0.2896579435
803	0.2896312816
804	0.289606141
805	0.2895954955
806	0.2895717755
807	0.2894986887
808	0.2894859747
809	0.2894658744
810	0.2894391335
811	0.2894197225
812	0.2894120323
813	0.2894016179
814	0.2893849306
815	0.2893786777
816	0.2893639295
817	0.2893498709
818	0.2893080963
819	0.2892418378
820	0.2892364261
821	0.2892080153
822	0.2891933066
823	0.2891684492
824	0.2891358829
825	0.2891231364
826	0.2890901051
827	0.2890749417
828	0.2890609205
829	0.2890539206
830	0.289042234
831	0.2890326857
832	0.2890147642
833	0.2890144404
834	0.2890014667
835	0.2889979845
836	0.2889891857
837	0.288956932
838	0.2889472486
839	0.2889043445
840	0.2888726098
841	0.2888511755
842	0.2888162034
843	0.2887963806
844	0.2887926502
845	0.288785151
846	0.2887684282
847	0.2887505821
848	0.288739602
849	0.2887202241
850	0.2886963836
851	0.2886487635
852	0.2886418818
853	0.2886368981
854	0.2886277709
855	0.2886001748
856	0.2885899773
857	0.2885653143
858	0.2885529175
859	0.2885509682
860	0.2885453152
861	0.2885299111
862	0.2885265023
863	0.2885012946
864	0.2884902442
865	0.2884782094
866	0.2884608682
867	0.2884513784
868	0.2884509075
869	0.2884299434
870	0.288418867
871	0.2883555715
872	0.2883431772
873	0.2883186133
874	0.2882997518
875	0.2882916278
876	0.2882912831
877	0.2882808629
878	0.2882665078
879	0.2882456845
880	0.2882327354
881	0.2882230096
882	0.2882007437
883	0.2881666071
884	0.2881508754
885	0.2881262752
886	0.2881061356
887	0.2880921432
888	0.2880793883
889	0.2880091636
890	0.2879890858
891	0.2879860043
892	0.2879817075
893	0.2879654492
894	0.2879434206
895	0.2879128102
896	0.2879028687
897	0.2878356204
898	0.2878205961
899	0.287756513
900	0.2877230087
901	0.2876812857
902	0.2876275318
903	0.2876189634
904	0.2876023555
905	0.2875860742
906	0.2875809234
907	0.287565299
908	0.2875488156
909	0.2875340326
910	0.2875019794
911	0.2874923098
912	0.287453243
913	0.2874442974
914	0.2874081601
915	0.2874018239
916	0.2873452798
917	0.2873362777
918	0.2873320343
919	0.2873280095
920	0.2873142712
921	0.2872827022
922	0.2872504781
923	0.2872502157
924	0.2872319587
925	0.287190851
926	0.2871827287
927	0.2871760452
928	0.2871647487
929	0.2871511515
930	0.2871340752
931	0.2871053982
932	0.2870970261
933	0.2870471544
934	0.2870464283
935	0.2870067906
936	0.2869949293
937	0.2869921065
938	0.2869873775
939	0.2869782064
940	0.286954514
941	0.2869179812
942	0.2868951281
943	0.286854645
944	0.286831369
945	0.2868027974
946	0.2867813886
947	0.2867384576
948	0.2866801933
949	0.2866740482
950	0.2866733051
951	0.2866690634
952	0.2866266668
953	0.2866261046
954	0.2865969704
955	0.2865234193
956	0.2865104119
957	0.2864760734
958	0.2864438426
959	0.2863993026
960	0.2863668692
961	0.2863661557
962	0.2863566192
963	0.2863399359
964	0.2863113145
965	0.2862853668
966	0.2862475027
967	0.2861868451
968	0.2861778281
969	0.2861530455
970	0.2861300914
971	0.2861035881
972	0.2860841578
973	0.2860741082
974	0.2860598526
975	0.2860428263
976	0.2860206769
977	0.2860112408
978	0.2859889232
979	0.285980477
980	0.2859285407
981	0.2858780587
982	0.2857967144
983	0.2857907734
984	0.285765599
985	0.2857471202
986	0.2857294972
987	0.2856913324
988	0.2856546264
989	0.2856475915
990	0.2856389543
991	0.2856106794
992	0.2856083525
993	0.2855829614
994	0.28558154
995	0.2855774894
996	0.285552267
997	0.2855413474
998	0.2855357404
999	0.2855003858
